PeakID (cmd=annotatePeaks.pl repr_peaks_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
rep1_peak_11271	chr7	80611885	80612050	+	29	NA	intron (ENST00000534394.5, intron 1 of 11)	protein_coding-intron (ENST00000309881.11, intron 1 of 13)	9742	ENST00000526804.5	ENSG00000135218	ENST00000544133			CD36			protein_coding
rep1_peak_5316	chr17	60018852	60019024	+	29	NA	promoter-TSS (ENST00000587125.1)	lncRNA-promoter-TSS (ENST00000587125.1)	37	ENST00000587125.1	ENSG00000267104	ENST00000587125			TBC1D3P1-DHX40P1			lncRNA
rep1_peak_10300	chr6	36617123	36617366	+	29	NA	Intergenic	Intergenic	5268	ENST00000584674.1	ENSG00000263894	ENST00000584674			MIR3925			miRNA
rep1_peak_11244	chr7	75442758	75443045	+	29	NA	promoter-TSS (ENST00000607367.5)	protein_coding-promoter-TSS (ENST00000607367.5)	-182	ENST00000607367.5	ENSG00000272391	ENST00000398379			POM121C			protein_coding
rep1_peak_2685	chr12	48681860	48682032	+	29	NA	promoter-TSS (ENST00000547582.5)	protein_coding-promoter-TSS (ENST00000547582.5)	212	ENST00000553086.5	ENSG00000139620	ENST00000549463			KANSL2			protein_coding
rep1_peak_3627	chr14	99962437	99962622	+	29	NA	Intergenic	Intergenic	-2000	ENST00000604654.1	ENSG00000271198	ENST00000604654			VDAC3P1			processed_pseudogene
rep1_peak_4704	chr16	71462166	71462350	+	29	NA	promoter-TSS (ENST00000393539.6)	protein_coding-promoter-TSS (ENST00000393539.6)	-6	ENST00000539742.5	ENSG00000167377	ENST00000647773			ZNF23			protein_coding
rep1_peak_2156	chr11	47848302	47848474	+	29	NA	promoter-TSS (ENST00000378460.7)	protein_coding-promoter-TSS (ENST00000378460.7)	-38	ENST00000694867.1	ENSG00000030066	ENST00000526870			NUP160			protein_coding
rep1_peak_8010	chr21	45455518	45455668	+	29	NA	promoter-TSS (ENST00000355480.10)	protein_coding-promoter-TSS (ENST00000355480.10)	62	ENST00000359759.8	ENSG00000182871	ENST00000459895			COL18A1			protein_coding
rep1_peak_4858	chr16	90044112	90044359	+	29	NA	TTS (ENST00000536122.7)	protein_coding-TTS (ENST00000536122.7)	375	ENST00000409768.2	ENSG00000290738	ENST00000517889			URAHP			lncRNA
rep1_peak_10688	chr6	106119619	106119820	+	29	NA	intron (ENST00000636335.1, intron 6 of 8)	protein_coding-intron (ENST00000636335.1, intron 6 of 8)	19579	ENST00000602426.1	ENSG00000269919	ENST00000602426			ENSG00000269919			lncRNA
rep1_peak_2236	chr11	65498963	65499158	+	29	NA	promoter-TSS (ENST00000508832.3)	lncRNA-promoter-TSS (ENST00000508832.3)	1	ENST00000610851.2	ENSG00000251562	ENST00000710927			MALAT1			lncRNA
rep1_peak_3606	chr14	95534405	95534705	+	29	NA	promoter-TSS (ENST00000331334.5)	protein_coding-promoter-TSS (ENST00000331334.5)	31	ENST00000555866.5	ENSG00000247092	ENST00000667310			SNHG10			lncRNA
rep1_peak_3677	chr14	105398347	105398666	+	29	NA	promoter-TSS (ENST00000451127.3)	protein_coding-promoter-TSS (ENST00000451127.3)	-32	ENST00000451127.3	ENSG00000226174	ENST00000548638			TEX22			protein_coding
rep1_peak_7667	chr20	63864228	63864451	+	29	NA	promoter-TSS (ENST00000217121.9)	protein_coding-promoter-TSS (ENST00000217121.9)	-46	ENST00000601296.2	ENSG00000268858	ENST00000601296			ENSG00000268858			lncRNA
rep1_peak_3223	chr13	73058659	73058831	+	29	NA	promoter-TSS (ENST00000377687.6)	protein_coding-promoter-TSS (ENST00000377687.6)	-260	ENST00000377687.6	ENSG00000102554	ENST00000476859			KLF5			protein_coding
rep1_peak_11875	chr8	89757941	89758069	+	28	NA	promoter-TSS (ENST00000504145.6)	lncRNA-promoter-TSS (ENST00000504145.6)	188	ENST00000517696.1	ENSG00000104312	ENST00000518673			RIPK2			protein_coding
rep1_peak_5919	chr19	16702233	16702457	+	28	NA	Intergenic	Intergenic	-9972	ENST00000599446.1	ENSG00000269419	ENST00000599446			ENSG00000269419			processed_pseudogene
rep1_peak_3375	chr14	31420454	31420863	+	28	NA	promoter-TSS (ENST00000382464.6)	protein_coding-promoter-TSS (ENST00000382464.6)	-100	ENST00000502430.2	ENSG00000250365	ENST00000502430			HEATR5A-DT			lncRNA
rep1_peak_3960	chr15	65286628	65286804	+	28	NA	promoter-TSS (ENST00000560149.5)	protein_coding-promoter-TSS (ENST00000560149.5)	127	ENST00000444347.2	ENSG00000138617	ENST00000261888			PARP16			protein_coding
rep1_peak_9931	chr5	139648108	139648341	+	28	NA	promoter-TSS (ENST00000302517.8)	protein_coding-promoter-TSS (ENST00000302517.8)	-125	ENST00000302517.8	ENSG00000171604	ENST00000503511			CXXC5			protein_coding
rep1_peak_4083	chr15	83207758	83207930	+	28	NA	promoter-TSS (ENST00000299633.7)	protein_coding-promoter-TSS (ENST00000299633.7)	-21	ENST00000299633.7	ENSG00000166503	ENST00000299633			HDGFL3			protein_coding
rep1_peak_356	chr1	12595972	12596172	+	28	NA	exon (ENST00000430996.2, exon 1 of 4)	protein_coding-exon (ENST00000430996.2, exon 1 of 4)	236	ENST00000430996.2	ENSG00000162496	ENST00000430996			DHRS3			protein_coding
rep1_peak_1400	chr1	246608783	246608957	+	28	NA	TTS (ENST00000417786.1)	lncRNA-TTS (ENST00000417786.1)	2997	ENST00000417786.1	ENSG00000225300	ENST00000417786			ENSG00000225300			lncRNA
rep1_peak_8374	chr3	22801792	22802012	+	28	NA	Intergenic	Intergenic	10145	ENST00000605097.1	ENSG00000271235	ENST00000605097			RRBP1P2			processed_pseudogene
rep1_peak_11219	chr7	74254285	74254597	+	28	NA	promoter-TSS (ENST00000055077.8)	protein_coding-promoter-TSS (ENST00000055077.8)	17	ENST00000621097.4	ENSG00000049541	ENST00000470266			RFC2			protein_coding
rep1_peak_1803	chr10	100347078	100347364	+	28	NA	promoter-TSS (ENST00000370355.3)	protein_coding-promoter-TSS (ENST00000370355.3)	-12	ENST00000370355.3	ENSG00000099194	ENST00000370355			SCD			protein_coding
rep1_peak_6325	chr19	54115429	54115705	+	27	NA	promoter-TSS (ENST00000321030.9)	protein_coding-promoter-TSS (ENST00000321030.9)	90	ENST00000391759.6	ENSG00000105619	ENST00000391759			TFPT			protein_coding
rep1_peak_3083	chr13	20128027	20128164	+	27	NA	Intergenic	Intergenic	25394	ENST00000455848.1	ENSG00000236076	ENST00000455848			LINC01072			lncRNA
rep1_peak_9241	chr4	82891151	82891452	+	27	NA	promoter-TSS (ENST00000311785.11)	protein_coding-promoter-TSS (ENST00000311785.11)	-35	ENST00000448323.5	ENSG00000138674	ENST00000512732			SEC31A			protein_coding
rep1_peak_5293	chr17	56914047	56914248	+	26	NA	promoter-TSS (ENST00000316881.9)	protein_coding-promoter-TSS (ENST00000316881.9)	-21	ENST00000619432.2	ENSG00000274213	ENST00000619432			ENSG00000274213			lncRNA
rep1_peak_5307	chr17	59093916	59094092	+	26	NA	intron (ENST00000393065.6, intron 1 of 22)	protein_coding-intron (ENST00000262294.12, intron 2 of 23)	12455	ENST00000580122.5	ENSG00000108395	ENST00000583387			TRIM37			protein_coding
rep1_peak_10986	chr7	25047352	25047691	+	26	NA	Intergenic	Intergenic	-65887	ENST00000415952.1	ENSG00000070882	ENST00000461835			OSBPL3			protein_coding
rep1_peak_11059	chr7	47405955	47406261	+	25	NA	intron (ENST00000442536.6, intron 13 of 14)	protein_coding-intron (ENST00000311160.14, intron 13 of 30)	-2683	ENST00000469470.1	ENSG00000136205	ENST00000415929			TNS3			protein_coding
rep1_peak_1539	chr10	32197664	32197847	+	25	NA	Intergenic	Intergenic	-8938	ENST00000405422.2	ENSG00000217094	ENST00000405422			PPIAP31			processed_pseudogene
rep1_peak_8749	chr3	134374349	134374688	+	25	NA	promoter-TSS (ENST00000249883.10)	protein_coding-promoter-TSS (ENST00000249883.10)	42	ENST00000512955.1	ENSG00000114019	ENST00000512955			AMOTL2			protein_coding
rep1_peak_6609	chr2	67397347	67397502	+	25	NA	promoter-TSS (ENST00000272342.6)	protein_coding-promoter-TSS (ENST00000272342.6)	88	ENST00000462772.2	ENSG00000143971	ENST00000644028			ETAA1			protein_coding
rep1_peak_9126	chr4	41214451	41214623	+	25	NA	promoter-TSS (ENST00000295974.12)	protein_coding-promoter-TSS (ENST00000295974.12)	5	ENST00000508593.6	ENSG00000163697	ENST00000502687			APBB2			protein_coding
rep1_peak_10369	chr6	47309763	47310016	+	25	NA	promoter-TSS (ENST00000296861.2)	protein_coding-promoter-TSS (ENST00000296861.2)	16	ENST00000296861.2	ENSG00000146072	ENST00000296861			TNFRSF21			protein_coding
rep1_peak_4669	chr16	67846755	67847002	+	25	NA	promoter-TSS (ENST00000219169.9)	protein_coding-promoter-TSS (ENST00000219169.9)	-4	ENST00000700610.1	ENSG00000102898	ENST00000569436			NUTF2			protein_coding
rep1_peak_2519	chr12	1836871	1837286	+	25	NA	TTS (ENST00000299194.6)	protein_coding-TTS (ENST00000299194.6)	9515	ENST00000546157.1	ENSG00000166159	ENST00000539859			LRTM2			protein_coding
rep1_peak_725	chr1	116508919	116509095	+	25	NA	Intergenic	Intergenic	-9795	ENST00000456414.2	ENSG00000224950	ENST00000456414			ENSG00000224950			lncRNA
rep1_peak_2253	chr11	66345138	66345261	+	25	NA	promoter-TSS (ENST00000359957.8)	protein_coding-promoter-TSS (ENST00000359957.8)	-74	ENST00000529544.1	ENSG00000174744	ENST00000525127			BRMS1			protein_coding
rep1_peak_10863	chr6	170056389	170056518	+	25	NA	Intergenic	Intergenic	-31569	ENST00000654612.1	ENSG00000287823	ENST00000667122			ENSG00000287823			lncRNA
rep1_peak_2017	chr11	1219802	1220163	+	25	NA	intron (ENST00000654177.1, intron 1 of 1)	lncRNA-intron (ENST00000654177.1, intron 1 of 1)	1452	ENST00000654177.1	ENSG00000286275	ENST00000654177			ENSG00000286275			lncRNA
rep1_peak_5892	chr19	14007009	14007170	+	25	NA	promoter-TSS (ENST00000254325.9)	protein_coding-promoter-TSS (ENST00000254325.9)	-50	ENST00000586913.1	ENSG00000132005	ENST00000586913			RFX1			protein_coding
rep1_peak_10776	chr6	139996524	139996753	+	25	NA	intron (ENST00000664620.1, intron 1 of 3)	lncRNA-intron (ENST00000456896.6, intron 1 of 3)	-5544	ENST00000666152.1	ENSG00000287820	ENST00000666152			ENSG00000287820			lncRNA
rep1_peak_12901	chrX	101450159	101450330	+	25	NA	intron (ENST00000433011.6, intron 4 of 15)	protein_coding-intron (ENST00000433011.6, intron 4 of 15)	-6141	ENST00000414193.2	ENSG00000234557	ENST00000414193			PPIAP90			processed_pseudogene
rep1_peak_5783	chr19	3557602	3557866	+	25	NA	promoter-TSS (ENST00000355415.7)	protein_coding-promoter-TSS (ENST00000355415.7)	-148	ENST00000355415.7	ENSG00000161091	ENST00000589995			MFSD12			protein_coding
rep1_peak_3121	chr13	29902407	29902566	+	25	NA	Intergenic	Intergenic	-14081	ENST00000453470.2	ENSG00000224329	ENST00000453470			LINC00297			lncRNA
rep1_peak_1635	chr10	44311090	44311280	+	25	NA	promoter-TSS (ENST00000658643.1)	lncRNA-promoter-TSS (ENST00000658643.1)	-948	ENST00000664323.1	ENSG00000287901	ENST00000664323			ENSG00000287901			lncRNA
rep1_peak_4744	chr16	79372586	79372767	+	25	NA	Intergenic	Intergenic	108222	ENST00000410312.1	ENSG00000222244	ENST00000410312			RNA5SP431			rRNA_pseudogene
rep1_peak_5168	chr17	41966763	41966915	+	25	NA	promoter-TSS (ENST00000393888.1)	protein_coding-promoter-TSS (ENST00000393888.1)	24	ENST00000393888.1	ENSG00000173786	ENST00000472031			CNP			protein_coding
rep1_peak_6957	chr2	163348114	163348385	+	25	NA	Intergenic	Intergenic	59254	ENST00000364032.1	ENSG00000200902	ENST00000364032			RNU6-627P			snRNA
rep1_peak_2136	chr11	44862218	44862399	+	25	NA	intron (ENST00000533786.5, intron 3 of 6)	protein_coding-intron (ENST00000340160.7, intron 2 of 8)	2705	ENST00000520837.5	ENSG00000157570	ENST00000517621			TSPAN18			protein_coding
rep1_peak_3941	chr15	60479070	60479365	+	25	NA	promoter-TSS (ENST00000261520.9)	protein_coding-promoter-TSS (ENST00000261520.9)	10	ENST00000558235.5	ENSG00000245534	ENST00000559824			RORA-AS1			lncRNA
rep1_peak_3938	chr15	60101646	60101781	+	25	NA	intron (ENST00000560503.2, intron 1 of 2)	lncRNA-intron (ENST00000560503.2, intron 1 of 2)	16607	ENST00000560503.2	ENSG00000259223	ENST00000560503			ENSG00000259223			lncRNA
rep1_peak_8018	chr21	45915069	45915158	+	25	NA	exon (ENST00000626237.1, exon 1 of 3)	lncRNA-exon (ENST00000626237.1, exon 1 of 3)	817	ENST00000626237.1	ENSG00000280604	ENST00000626237			ENSG00000280604			lncRNA
rep1_peak_1762	chr10	90227367	90227573	+	25	NA	Intergenic	Intergenic	-63510	ENST00000410519.1	ENSG00000222451	ENST00000410519			RN7SKP143			misc_RNA
rep1_peak_5784	chr19	3572822	3572962	+	25	NA	promoter-TSS (ENST00000262949.7)	protein_coding-promoter-TSS (ENST00000262949.7)	-52	ENST00000333651.11	ENSG00000064961	ENST00000488973			HMG20B			protein_coding
rep1_peak_3943	chr15	61750637	61750809	+	25	NA	Intergenic	Intergenic	20873	ENST00000561386.1	ENSG00000259284	ENST00000561386			LINC02349			lncRNA
rep1_peak_7949	chr21	42009171	42009321	+	25	NA	promoter-TSS (ENST00000412906.5)	lncRNA-promoter-TSS (ENST00000412906.5)	52	ENST00000412906.5	ENSG00000237232	ENST00000676145			ZNF295-AS1			lncRNA
rep1_peak_3971	chr15	66803315	66803487	+	25	NA	Intergenic	Intergenic	-5003	ENST00000604293.1	ENSG00000270490	ENST00000604293			ENSG00000270490			processed_pseudogene
rep1_peak_6145	chr19	40421239	40421431	+	25	NA	TTS (ENST00000357949.5)	protein_coding-TTS (ENST00000357949.5)	4657	ENST00000357949.5	ENSG00000197019	ENST00000357949			SERTAD1			protein_coding
rep1_peak_7574	chr20	50764016	50764379	+	25	NA	Intergenic	Intergenic	-30697	ENST00000358791.9	ENSG00000124243	ENST00000609336			BCAS4			protein_coding
rep1_peak_2194	chr11	61730414	61730591	+	25	NA	intron (ENST00000540717.1, intron 8 of 19)	protein_coding-intron (ENST00000257215.10, intron 8 of 19)	18191	ENST00000541891.1	ENSG00000124915	ENST00000541891			MYRF-AS1			lncRNA
rep1_peak_653	chr1	93079059	93079393	+	25	NA	promoter-TSS (ENST00000370298.9)	protein_coding-promoter-TSS (ENST00000370298.9)	-9	ENST00000540243.5	ENSG00000143033	ENST00000487263			MTF2			protein_coding
rep1_peak_4113	chr15	84716128	84716457	+	25	NA	promoter-TSS (ENST00000268220.12)	protein_coding-promoter-TSS (ENST00000268220.12)	-129	ENST00000455959.7	ENSG00000140612	ENST00000558217			SEC11A			protein_coding
rep1_peak_11606	chr8	9065882	9065982	+	25	NA	intron (ENST00000522258.1, intron 2 of 2)	protein_coding-intron (ENST00000518663.2, intron 3 of 3)	6584	ENST00000459426.1	ENSG00000239078	ENST00000459426			RNU7-55P			snRNA
rep1_peak_11167	chr7	65647330	65647589	+	25	NA	promoter-TSS (ENST00000609420.5)	lncRNA-promoter-TSS (ENST00000609420.5)	-364	ENST00000614726.2	ENSG00000273024	ENST00000614726			INTS4P2			transcribed_unprocessed_pseudogene
rep1_peak_9272	chr4	98261017	98261189	+	25	NA	promoter-TSS (ENST00000264572.11)	protein_coding-promoter-TSS (ENST00000264572.11)	112	ENST00000691791.2	ENSG00000289532	ENST00000691791			ENSG00000289532			lncRNA
rep1_peak_9420	chr4	183398838	183399009	+	25	NA	Intergenic	Intergenic	18578	ENST00000514910.1	ENSG00000250292	ENST00000514910			ENSG00000250292			processed_pseudogene
rep1_peak_429	chr1	24319404	24319560	+	25	NA	promoter-TSS (ENST00000350501.9)	protein_coding-promoter-TSS (ENST00000350501.9)	26	ENST00000530984.1	ENSG00000158055	ENST00000236255			GRHL3			protein_coding
rep1_peak_1408	chr1	247893591	247893865	+	25	NA	Intergenic	Intergenic	-1859	ENST00000360358.3	ENSG00000238243	ENST00000360358			OR2W3			protein_coding
rep1_peak_1125	chr1	171485420	171485542	+	25	NA	promoter-TSS (ENST00000338920.8)	protein_coding-promoter-TSS (ENST00000338920.8)	-49	ENST00000647382.2	ENSG00000117523	ENST00000467601			PRRC2C			protein_coding
rep1_peak_9831	chr5	96400910	96401069	+	25	NA	intron (ENST00000513085.1, intron 3 of 7)	protein_coding-intron (ENST00000311106.8, intron 9 of 13)	11996	ENST00000513085.1	ENSG00000175426	ENST00000311106			PCSK1			protein_coding
rep1_peak_8156	chr22	28663753	28664038	+	25	NA	intron (ENST00000468807.1, intron 1 of 1)	protein_coding-intron (ENST00000397906.7, intron 1 of 22)	15917	ENST00000468807.1	ENSG00000100154	ENST00000431039			TTC28			protein_coding
rep1_peak_5122	chr17	37489886	37490036	+	25	NA	promoter-TSS (ENST00000617516.5)	protein_coding-promoter-TSS (ENST00000617516.5)	70	ENST00000617516.5	ENSG00000276023	ENST00000617516			DUSP14			protein_coding
rep1_peak_12508	chr9	129023616	129023777	+	25	NA	intron (ENST00000483980.5, intron 1 of 8)	protein_coding-intron (ENST00000372554.8, intron 1 of 12)	-2485	ENST00000425236.5	ENSG00000148341	ENST00000417224			SH3GLB2			protein_coding
rep1_peak_9700	chr5	69492375	69492797	+	25	NA	promoter-TSS (ENST00000396442.7)	protein_coding-promoter-TSS (ENST00000396442.7)	-187	ENST00000681041.1	ENSG00000197822	ENST00000680496			OCLN			protein_coding
rep1_peak_7257	chr20	8226053	8226194	+	25	NA	intron (ENST00000637204.1, intron 1 of 1)	protein_coding-intron (ENST00000338037.11, intron 2 of 31)	-22581	ENST00000441231.1	ENSG00000225479	ENST00000441231			PLCB1-IT1			lncRNA
rep1_peak_3821	chr15	29822823	29823260	+	25	NA	promoter-TSS (ENST00000346128.10)	protein_coding-promoter-TSS (ENST00000346128.10)	410	ENST00000557989.1	ENSG00000259523	ENST00000557989			ENSG00000259523			lncRNA
rep1_peak_12886	chrX	91215154	91215269	+	25	NA	Intergenic	Intergenic	-92570	ENST00000418369.1	ENSG00000206062	ENST00000418369			ENSG00000206062			lncRNA
rep1_peak_1715	chr10	75262862	75262998	+	25	NA	intron (ENST00000666247.1, intron 2 of 3)	lncRNA-intron (ENST00000666247.1, intron 2 of 3)	6615	ENST00000449384.1	ENSG00000227271	ENST00000449384			RPL39P25			processed_pseudogene
rep1_peak_2831	chr12	89524804	89524958	+	25	NA	promoter-TSS (ENST00000529983.3)	protein_coding-promoter-TSS (ENST00000529983.3)	-85	ENST00000529983.3	ENSG00000257594	ENST00000529983			GALNT4			protein_coding
rep1_peak_11523	chr7	151047053	151047264	+	25	NA	exon (ENST00000358849.9, exon 16 of 16)	protein_coding-exon (ENST00000358849.9, exon 16 of 16)	-1134	ENST00000357922.8	ENSG00000213199	ENST00000377904			ASIC3			protein_coding
rep1_peak_5161	chr17	40582413	40582564	+	25	NA	Intergenic	Intergenic	16097	ENST00000624090.1	ENSG00000279775	ENST00000624090			ENSG00000279775			TEC
rep1_peak_307	chr1	3796442	3796609	+	25	NA	promoter-TSS (ENST00000378251.3)	protein_coding-promoter-TSS (ENST00000378251.3)	-27	ENST00000378251.3	ENSG00000130764	ENST00000479239			LRRC47			protein_coding
rep1_peak_2430	chr11	102807947	102808205	+	25	NA	promoter-TSS (ENST00000546014.1)	processed_pseudogene-promoter-TSS (ENST00000546014.1)	-160	ENST00000546014.1	ENSG00000256035	ENST00000546014			ENSG00000256035			processed_pseudogene
rep1_peak_3894	chr15	45201015	45201187	+	25	NA	promoter-TSS (ENST00000290894.12)	protein_coding-promoter-TSS (ENST00000290894.12)	15	ENST00000561278.1	ENSG00000138606	ENST00000458022			SHF			protein_coding
rep1_peak_6554	chr2	47199228	47199400	+	25	NA	intron (ENST00000448713.5, intron 2 of 2)	lncRNA-intron (ENST00000441997.5, intron 4 of 4)	-22393	ENST00000655450.1	ENSG00000143933	ENST00000484408			CALM2			protein_coding
rep1_peak_1522	chr10	28302914	28303406	+	25	NA	promoter-TSS (ENST00000634334.1)	lncRNA-promoter-TSS (ENST00000634334.1)	-96	ENST00000683449.1	ENSG00000150054	ENST00000481244			MPP7			protein_coding
rep1_peak_12643	chrX	4674121	4674293	+	25	NA	Intergenic	Intergenic	-40635	ENST00000420725.1	ENSG00000236513	ENST00000420725			ENSG00000236513			lncRNA
rep1_peak_6131	chr19	39112464	39112690	+	25	NA	Intergenic	Intergenic	-13193	ENST00000602004.1	ENSG00000130669	ENST00000593690			PAK4			protein_coding
rep1_peak_2395	chr11	85664820	85665195	+	25	NA	promoter-TSS (ENST00000260058.9)	protein_coding-promoter-TSS (ENST00000260058.9)	57	ENST00000682836.1	ENSG00000137504	ENST00000528561			CREBZF			protein_coding
rep1_peak_8231	chr22	41091533	41091641	+	25	NA	promoter-TSS (ENST00000408233.1)	miRNA-promoter-TSS (ENST00000408233.1)	-926	ENST00000408233.1	ENSG00000284015	ENST00000408233			MIR1281			miRNA
rep1_peak_3097	chr13	22979253	22979547	+	25	NA	Intergenic	Intergenic	47863	ENST00000635091.1	ENSG00000283075	ENST00000635091			ENSG00000283075			lncRNA
rep1_peak_3176	chr13	49444247	49444419	+	25	NA	promoter-TSS (ENST00000354234.8)	protein_coding-promoter-TSS (ENST00000354234.8)	-41	ENST00000354234.8	ENSG00000136169	ENST00000317257			SETDB2			protein_coding
rep1_peak_11778	chr8	71059194	71059366	+	25	NA	intron (ENST00000647843.1, intron 3 of 8)	lncRNA-intron (ENST00000647843.1, intron 3 of 8)	-96174	ENST00000666052.1	ENSG00000254031	ENST00000521084			ENSG00000254031			lncRNA
rep1_peak_12879	chrX	85003649	85003846	+	25	NA	promoter-TSS (ENST00000373173.7)	protein_coding-promoter-TSS (ENST00000373173.7)	-130	ENST00000373173.7	ENSG00000155008	ENST00000373173			APOOL			protein_coding
rep1_peak_11624	chr8	13059842	13060014	+	25	NA	Intergenic	Intergenic	15578	ENST00000384269.1	ENSG00000206996	ENST00000384269			RNU6-842P			snRNA
rep1_peak_2475	chr11	120122029	120122322	+	25	NA	promoter-TSS (ENST00000524956.4)	protein_coding-promoter-TSS (ENST00000524956.4)	-182	ENST00000525887.5	ENSG00000137699	ENST00000529044			TRIM29			protein_coding
rep1_peak_11921	chr8	100472182	100472545	+	25	NA	Intergenic	Intergenic	-3304	ENST00000667762.1	ENSG00000253666	ENST00000653377			ENSG00000253666			lncRNA
rep1_peak_3861	chr15	39274078	39274227	+	25	NA	promoter-TSS (ENST00000561058.5)	lncRNA-promoter-TSS (ENST00000561058.5)	-269	ENST00000561058.5	ENSG00000259345	ENST00000558277			ENSG00000259345			lncRNA
rep1_peak_2034	chr11	1829135	1829307	+	25	NA	intron (ENST00000430303.5, intron 2 of 4)	protein_coding-intron (ENST00000417052.5, intron 1 of 3)	678	ENST00000417052.5	ENSG00000149043	ENST00000424556			SYT8			protein_coding
rep1_peak_7047	chr2	200259754	200259926	+	25	NA	Intergenic	Intergenic	-46041	ENST00000439084.5	ENSG00000196141	ENST00000451764			SPATS2L			protein_coding
rep1_peak_8265	chr22	46070149	46070414	+	25	NA	promoter-TSS (ENST00000412643.1)	lncRNA-promoter-TSS (ENST00000412643.1)	241	ENST00000690688.2	ENSG00000289044	ENST00000690688			ENSG00000289044			lncRNA
rep1_peak_12704	chrX	37912443	37912615	+	25	NA	intron (ENST00000567273.1, intron 1 of 2)	protein_coding-intron (ENST00000465127.1, intron 3 of 8)	6382	ENST00000567273.1	ENSG00000259977	ENST00000567273			ENSG00000259977			lncRNA
rep1_peak_6788	chr2	111705843	111706077	+	25	NA	intron (ENST00000643447.1, intron 9 of 11)	protein_coding-intron (ENST00000643447.1, intron 9 of 11)	-6927	ENST00000644013.1	ENSG00000285016	ENST00000645914			ENSG00000285016			lncRNA
rep1_peak_692	chr1	109484081	109484253	+	25	NA	intron (ENST00000684449.1, intron 1 of 10)	protein_coding-intron (ENST00000369870.7, intron 1 of 10)	213	ENST00000684449.1	ENSG00000162650	ENST00000683729			ATXN7L2			protein_coding
rep1_peak_12331	chr9	89593098	89593307	+	25	NA	intron (ENST00000648620.1, intron 3 of 6)	lncRNA-intron (ENST00000648620.1, intron 3 of 6)	9937	ENST00000649980.1	ENSG00000285907	ENST00000649632			ENSG00000285907			lncRNA
rep1_peak_3863	chr15	39668576	39668705	+	25	NA	intron (ENST00000350221.4, intron 10 of 11)	protein_coding-intron (ENST00000350221.4, intron 10 of 11)	-50397	ENST00000642527.1	ENSG00000150667	ENST00000559692			FSIP1			protein_coding
rep1_peak_11541	chr7	155003407	155003618	+	25	NA	promoter-TSS (ENST00000404141.6)	protein_coding-promoter-TSS (ENST00000404141.6)	91	ENST00000608317.2	ENSG00000273344	ENST00000608317			PAXIP1-DT			lncRNA
rep1_peak_8099	chr22	19751173	19751364	+	25	NA	Intergenic	Intergenic	-5435	ENST00000359500.7	ENSG00000184058	ENST00000649276			TBX1			protein_coding
rep1_peak_7902	chr21	31530986	31531144	+	25	NA	intron (ENST00000469412.5, intron 1 of 8)	protein_coding-intron (ENST00000286827.7, intron 1 of 28)	27912	ENST00000286827.7	ENSG00000156299	ENST00000286827			TIAM1			protein_coding
rep1_peak_10216	chr6	27251856	27252056	+	25	NA	exon (ENST00000230582.8, exon 8 of 12)	protein_coding-exon (ENST00000230582.8, exon 8 of 12)	294	ENST00000471463.5	ENSG00000112812	ENST00000488649			PRSS16			protein_coding
rep1_peak_12287	chr9	75101140	75101309	+	25	NA	intron (ENST00000346234.7, intron 1 of 9)	protein_coding-intron (ENST00000346234.7, intron 1 of 9)	12710	ENST00000346234.7	ENSG00000134996	ENST00000346234			OSTF1			protein_coding
rep1_peak_9856	chr5	109409323	109409551	+	25	NA	promoter-TSS (ENST00000511624.1)	protein_coding-promoter-TSS (ENST00000511624.1)	-121	ENST00000511624.1	ENSG00000198961	ENST00000511624			PJA2			protein_coding
rep1_peak_8743	chr3	133453066	133453301	+	25	NA	intron (ENST00000510039.1, intron 1 of 3)	protein_coding-intron (ENST00000302334.3, intron 4 of 6)	2593	ENST00000515542.1	ENSG00000249993	ENST00000515542			BFSP2-AS1			lncRNA
rep1_peak_9349	chr4	140373561	140373726	+	25	NA	promoter-TSS (ENST00000510586.5)	protein_coding-intron (ENST00000512749.5, intron 1 of 3)	-3	ENST00000608372.6	ENSG00000153130	ENST00000506322			SCOC			protein_coding
rep1_peak_5689	chr18	49487055	49487368	+	25	NA	promoter-TSS (ENST00000318240.8)	protein_coding-promoter-TSS (ENST00000318240.8)	23	ENST00000318240.8	ENSG00000177576	ENST00000582392			C18orf32			protein_coding
rep1_peak_6014	chr19	33541977	33542149	+	25	NA	Intergenic	Intergenic	-13505	ENST00000589967.1	ENSG00000266985	ENST00000589967			ENSG00000266985			lncRNA
rep1_peak_6837	chr2	120399302	120399515	+	25	NA	Intergenic	Intergenic	53272	ENST00000295228.4	ENSG00000163083	ENST00000295228			INHBB			protein_coding
rep1_peak_11164	chr7	65475860	65476110	+	25	NA	Intergenic	Intergenic	12914	ENST00000453648.1	ENSG00000238124	ENST00000453648			ENSG00000238124			lncRNA
